id,label
http://metadata.un.org/thesaurus#1000971,choice of law
http://metadata.un.org/thesaurus#1005122,private international law
http://metadata.un.org/thesaurus#1000974,christian ethics
http://metadata.un.org/thesaurus#1002128,ethics
http://metadata.un.org/thesaurus#1000984,chronic diseases
http://metadata.un.org/thesaurus#1000985,chrysanthemums
http://metadata.un.org/thesaurus#1000991,cinematographic works
http://metadata.un.org/thesaurus#1002324,films
http://metadata.un.org/thesaurus#150400,communication and mass media
http://metadata.un.org/thesaurus#1000992,cinnamon
http://metadata.un.org/thesaurus#1001037,cloves
http://metadata.un.org/thesaurus#1001063,coconut industry
http://metadata.un.org/thesaurus#050700,food industry
http://metadata.un.org/thesaurus#1001066,coconut products
http://metadata.un.org/thesaurus#1001069,cod fisheries
http://metadata.un.org/thesaurus#040400,fisheries
http://metadata.un.org/thesaurus#1002363,fisheries
http://metadata.un.org/thesaurus#1001074,cohort analysis
http://metadata.un.org/thesaurus#1001565,demographic analysis
http://metadata.un.org/thesaurus#1001090,colombians
http://metadata.un.org/thesaurus#1001089,colombia
http://metadata.un.org/thesaurus#1001105,commercial leases
http://metadata.un.org/thesaurus#050101,industrial development support services
http://metadata.un.org/thesaurus#1003660,leases
http://metadata.un.org/thesaurus#1001139,communist revisionism
http://metadata.un.org/thesaurus#010100,"political conditions, institutions, movements"
http://metadata.un.org/thesaurus#1001136,communism
http://metadata.un.org/thesaurus#1001154,comorian language
http://metadata.un.org/thesaurus#1006323,swahili language
http://metadata.un.org/thesaurus#1001155,comorians
http://metadata.un.org/thesaurus#1001156,comoros
http://metadata.un.org/thesaurus#1001233,congo language
http://metadata.un.org/thesaurus#1000528,bantu languages
http://metadata.un.org/thesaurus#1001234,congo question
http://metadata.un.org/thesaurus#1001559,democratic republic of the congo
http://metadata.un.org/thesaurus#1001236,congolese (republic of the congo)
http://metadata.un.org/thesaurus#1001232,congo
http://metadata.un.org/thesaurus#1001272,continental drift
http://metadata.un.org/thesaurus#160300,earth sciences
http://metadata.un.org/thesaurus#1004943,plate tectonics
http://metadata.un.org/thesaurus#1001287,contributions-in-kind
http://metadata.un.org/thesaurus#1000709,budget contributions
http://metadata.un.org/thesaurus#1001291,conveyors
http://metadata.un.org/thesaurus#1003976,materials handling
http://metadata.un.org/thesaurus#1001297,cooperative movements
http://metadata.un.org/thesaurus#020800,consumers and cooperatives
http://metadata.un.org/thesaurus#1001298,cooperatives
http://metadata.un.org/thesaurus#1001304,copra
http://metadata.un.org/thesaurus#1001308,coral reefs
http://metadata.un.org/thesaurus#1001337,costa ricans
http://metadata.un.org/thesaurus#1001336,costa rica
http://metadata.un.org/thesaurus#1001350,counterpart personnel
http://metadata.un.org/thesaurus#1005189,project personnel
http://metadata.un.org/thesaurus#180600,operational activities
http://metadata.un.org/thesaurus#1001352,country agreements
http://metadata.un.org/thesaurus#1001354,country programmes
http://metadata.un.org/thesaurus#1001359,courgettes
http://metadata.un.org/thesaurus#1006149,squash
http://metadata.un.org/thesaurus#1001366,credit cards
http://metadata.un.org/thesaurus#1001259,consumer credit
http://metadata.un.org/thesaurus#1001373,creole dialects
http://metadata.un.org/thesaurus#1001639,dialects
http://metadata.un.org/thesaurus#1001374,cretinism
http://metadata.un.org/thesaurus#1002021,endocrine diseases
http://metadata.un.org/thesaurus#1001409,crop zones
http://metadata.un.org/thesaurus#040201,crop management
http://metadata.un.org/thesaurus#1000175,agrometeorology
http://metadata.un.org/thesaurus#1001417,cuba situation
http://metadata.un.org/thesaurus#1001416,cuba
http://metadata.un.org/thesaurus#1001469,cyanite
http://metadata.un.org/thesaurus#1001476,czech language
http://metadata.un.org/thesaurus#1001489,dance
http://metadata.un.org/thesaurus#1004804,performing arts
http://metadata.un.org/thesaurus#1001490,danes
http://metadata.un.org/thesaurus#1001573,denmark
http://metadata.un.org/thesaurus#1001494,danish language
http://metadata.un.org/thesaurus#1001521,death rate
http://metadata.un.org/thesaurus#1004239,mortality
http://metadata.un.org/thesaurus#1001562,democratization
http://metadata.un.org/thesaurus#1001557,democracy
http://metadata.un.org/thesaurus#1001591,desalination plants
http://metadata.un.org/thesaurus#030500,water
http://metadata.un.org/thesaurus#1001590,desalination
http://metadata.un.org/thesaurus#1001622,development education
http://metadata.un.org/thesaurus#110300,educational systems
http://metadata.un.org/thesaurus#1001615,development
http://metadata.un.org/thesaurus#1001656,dimethyl terephthalate
http://metadata.un.org/thesaurus#1001709,dissertations
http://metadata.un.org/thesaurus#1000016,academic degrees
http://metadata.un.org/thesaurus#1001721,division of labour
http://metadata.un.org/thesaurus#120300,conditions of employment
http://metadata.un.org/thesaurus#1003566,labour productivity
http://metadata.un.org/thesaurus#1001725,djiboutians
http://metadata.un.org/thesaurus#1001724,djibouti
http://metadata.un.org/thesaurus#1001732,documentary evidence
http://metadata.un.org/thesaurus#1002161,evidence
http://metadata.un.org/thesaurus#1001733,documentary films
http://metadata.un.org/thesaurus#1001737,documents limitation
http://metadata.un.org/thesaurus#180702,documents
http://metadata.un.org/thesaurus#1001735,documents
http://metadata.un.org/thesaurus#1001738,dogs
http://metadata.un.org/thesaurus#030700,wildlife
http://metadata.un.org/thesaurus#1000304,animals
http://metadata.un.org/thesaurus#1001740,dolomite
http://metadata.un.org/thesaurus#1000821,carbonate rocks
http://metadata.un.org/thesaurus#1001748,dominica
http://metadata.un.org/thesaurus#1000834,caribbean region
http://metadata.un.org/thesaurus#170200,the americas
http://metadata.un.org/thesaurus#1001750,dominicans
http://metadata.un.org/thesaurus#1001749,dominican republic
http://metadata.un.org/thesaurus#1001752,double taxation
http://metadata.un.org/thesaurus#020602,taxation
http://metadata.un.org/thesaurus#1006401,taxation
http://metadata.un.org/thesaurus#1001789,druzes
http://metadata.un.org/thesaurus#1004292,muslims
http://metadata.un.org/thesaurus#1001793,dual exchange markets
http://metadata.un.org/thesaurus#1002462,foreign exchange markets
http://metadata.un.org/thesaurus#1001797,dutch language
http://metadata.un.org/thesaurus#1001804,dyur language
http://metadata.un.org/thesaurus#1000101,african languages
http://metadata.un.org/thesaurus#1001823,east china sea
http://metadata.un.org/thesaurus#1004470,north pacific ocean
http://metadata.un.org/thesaurus#1001858,economic lag
http://metadata.un.org/thesaurus#020100,economic theory
http://metadata.un.org/thesaurus#1006300,supply and demand
http://metadata.un.org/thesaurus#1001890,ecuadorians
http://metadata.un.org/thesaurus#1001889,ecuador
http://metadata.un.org/thesaurus#1001931,egyptians
http://metadata.un.org/thesaurus#1001930,egypt
http://metadata.un.org/thesaurus#1001959,electrodialysis
http://metadata.un.org/thesaurus#160900,"astronomy, chemistry and physics"
http://metadata.un.org/thesaurus#1001979,electroplating
http://metadata.un.org/thesaurus#1001958,electrochemistry
http://metadata.un.org/thesaurus#1002041,energy transfer
http://metadata.un.org/thesaurus#031000,energy resources
http://metadata.un.org/thesaurus#1002026,energy conversion
http://metadata.un.org/thesaurus#1002055,enterprise statistics
http://metadata.un.org/thesaurus#020200,economic conditions
http://metadata.un.org/thesaurus#1001873,economic statistics
http://metadata.un.org/thesaurus#1002097,epilepsy
